trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-162.64994157959822,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-61.48178023676922,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-84.6253019980627,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-19.1329343558873,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-110.52347469280723,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,5,-99.73944760061158,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-82.33572687835786,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,11,-39.04847974036367,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-41.48900000664952,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-74.87890262680106,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-6.099811692651388,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-42.29170133312703,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,13,-7.773160985053538,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,1,27.664396508384616,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,-4.250987451203041,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-67.9986585682156,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,12.260755732677255,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,10,9.55622726911428,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,1,16.698774523021505,"{0: 24, 1: 5, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-9.242262051738079,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,2,-16.28712088974793,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-3.7346253655690607,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,15,-0.09999788811633081,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,15.021719431529217,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,10.755434665918429,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,31.316123999617396,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,4.326747141743956,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,1,8.371732655375853,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-15.031105501482418,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,5.277490519647722,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
