trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997004495503373}",30,0,-87.6422029626743,"{0: 19, 1: 0, 2: 11, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-44.81271604496477,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9910403787728836}",25,0,-159.52556646001668,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-167.89847140656497,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-145.3583160671898,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-147.0612876749909,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9792189645694596}",20,0,-205.4411452939108,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-87.52528818782028,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-54.428762346873214,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-111.26067205265677,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.967538559589032}",30,0,-77.40026926715336,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9646402934831231}",20,0,-110.33210421937022,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9617507091463667}",30,0,-211.4531171460237,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9588697805724845}",20,0,-39.25376499915705,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-132.2347064497529,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-71.60395618845484,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.950278670532427}",25,0,-168.75192170019815,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,2,-75.74572217378227,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9445940693665233}",20,0,-157.81038652467265,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-172.5324799509941,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9389434736891332}",20,0,-92.10661750214263,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9361308642916188}",20,0,-140.76359258859594,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.933326680078202}",30,0,-160.59656676157354,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9305308958112057}",25,0,-143.91211470539332,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-114.14073803031054,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9249644265435393}",25,0,-121.01726803139358,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.922193691444608}",20,0,-75.79015700750438,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9194312560951247}",20,0,-13.073464263379858,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9166770956331523}",35,26,7.577953797490244,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-224.9681500766012,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.9111935002961405}",20,0,-71.23927526930937,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9084640160687062}",20,0,-0.4919856857372329,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9057427080235485}",20,0,-76.59538010352426,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9030295516688768}",25,0,-110.31532916589538,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9003245225862656}",25,0,-167.28977892920648,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.8976275964304349}",20,0,-49.342754940403545,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.894938748929031}",20,0,-92.17733800005067,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8922579558824083}",25,0,-105.11175761139764,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8895851931634113}",30,0,-175.4276757965155,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,2,-33.028773409727776,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.8842636625608209}",25,0,-209.33479306496648,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.8816148467834161}",25,0,-217.63229402651595,"{0: 12, 1: 0, 2: 7, 3: 4, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8789739655455832}",20,0,-62.042169181985955,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8763409950793734}",30,0,-89.6726336561143,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8737159116880344}",20,0,-98.35905130278657,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.8710986917457983}",20,0,-141.9451400755535,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.8684893116976679}",35,0,-102.96802816337359,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.865887748059205}",25,0,-100.62102046085855,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.8632939774163194}",20,0,-148.42745144928122,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-114.57339196130471,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.8581297218113938}",25,0,-52.80882020450421,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8555591903710185}",20,0,-79.2828233432254,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.8529963589691315}",20,0,-19.90410714795854,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.850441204540233}",20,8,-41.285386029714836,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.8478937040879159}",25,0,-174.60930395703258,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.8453538346846587}",25,0,-12.550617721343418,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.8428215734716199}",25,7,-81.08092737425974,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.8402968976584314}",20,5,-102.72708951558569,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.8377797845229938}",20,0,-62.02959973543827,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
