trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-131.0945734628945,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-74.83174962989047,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-131.04243950335467,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-102.1177954803048,"{0: 14, 1: 10, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-73.98959793390027,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-70.12592700588567,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-75.46738424438783,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-104.33495392183224,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-38.894938316071176,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-127.08574796701423,"{0: 20, 1: 6, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-39.9403820369688,"{0: 15, 1: 8, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-112.77834356171269,"{0: 13, 1: 8, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-108.90261912801188,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-61.74651509872356,"{0: 18, 1: 8, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-139.12655804880313,"{0: 10, 1: 7, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-64.05409593105472,"{0: 9, 1: 9, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-27.489694812442035,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-16.306732443083988,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-35.148209981356395,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-40.785509016709625,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-39.36962990894687,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-28.433850715716435,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,1.0874658425522683,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-22.804846433801483,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-9.02663959606182,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-14.366671625195538,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-8.318838060914963,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-23.312524778837783,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-29.320400583345254,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-10.734513481888294,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
